C,g1,g3,g5
0.00032,50.9473684211,50.9473684211,50.9473684211
0.0016,50.9473684211,50.9473684211,50.9473684211
0.008,50.9473684211,50.9473684211,50.9473684211
0.04,50.9473684211,72.7157894737,50.9473684211
0.2,51.4947368421,76.9263157895,50.9473684211
1,72,78.7368421053,75.2
5,72.2947368421,79.7052631579,76.1684210526
25,72.5052631579,77.3052631579,76.5473684211
125,72.3789473684,72.4631578947,77.7684210526
625,73.0947368421,71.8315789474,79.4947368421
3125,72.5052631579,70.4421052632,78.0210526316
